city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month
RIYADH,HM No  95340  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,NAJMA,VEGETABLE,2.9L,NAJMA VEGETABLE 2.9L,11-20$,2024,3
JAZAN,HM No  86424  GS-CENTER-JAZAN MAIN RD  JAZAN,BLUE OASIS CO,RAWABI,VEGETABLE,0.5L,RAWABI VEGETABLE 0.5L FAMILY PACK,21-30,2024,1
AL BAHA,HM No  79175  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,NOUR,SUNFLOWER,4L,NOUR SUNFLOWER 4L PLUS,71-80,2022,12
RIYADH,HM No  58176  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,NOUR,COCONUT,2.9L,NOUR COCONUT 2.9L,41-50,2024,1
TABUK,HM No  94600  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,HILAL,CANOLA,4L,HILAL CANOLA 4L FAMILY PACK,51-60,2024,4
TAIF,HM No  82362  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,NAJMA,CORN,2.9L,NAJMA CORN 2.9L FAMILY PACK,101+,2022,1
TAIF,HM No  91840  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,ZAHRA,CORN,4L,ZAHRA CORN 4L PREMIUM,81-90,2022,9
TAIF,HM No  93243  GS-CENTER-TAIF MAIN RD  TAIF,SAHARA EDIBLES,ZAHRA,VEGETABLE,0.6L,ZAHRA VEGETABLE 0.6L FAMILY PACK,21-30,2022,5
AL AHSA,HM No  64939  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,HILAL,CANOLA,9L,HILAL CANOLA 9L FAMILY PACK,91-100,2024,5
AL BAHA,HM No  86707  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,NAJMA,SUNFLOWER,4.5L,NAJMA SUNFLOWER 4.5L FAMILY PACK,11-20$,2023,7
JAZAN,HM No  67959  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,BAYTNA,SUNFLOWER,2.9L,BAYTNA SUNFLOWER 2.9L PLUS,91-100,2022,12
TAIF,HM No  53077  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,RAWABI,VEGETABLE,2.9L,RAWABI VEGETABLE 2.9L PLUS,11-20$,2023,4
HAIL,HM No  55361  GS-CENTER-HAIL MAIN RD  HAIL,NOVA FOODS,HILAL,SUNFLOWER,0.5L,HILAL SUNFLOWER 0.5L TWIN PACK,41-50,2022,6
TABUK,HM No  54118  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,NAJMA,SUNFLOWER,1.8L,NAJMA SUNFLOWER 1.8L,101+,2024,6
TABUK,HM No  66197  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,SABAYA,COCONUT,1.5L,SABAYA COCONUT 1.5L,61-70,2024,4
JEDDAH,HM No  89319  GS-CENTER-JEDDAH MAIN RD  JEDDAH,BLUE OASIS CO,ZAHRA,SUNFLOWER,4L,ZAHRA SUNFLOWER 4L,21-30,2022,1
JAZAN,HM No  70531  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,GULF GOLD,CANOLA,10L,GULF GOLD CANOLA 10L ECO,11-20$,2023,10
AL BAHA,HM No  78301  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,ZAHRA,CANOLA,3L,ZAHRA CANOLA 3L,51-60,2023,7
JEDDAH,HM No  90455  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,HILAL,VEGETABLE,10L,HILAL VEGETABLE 10L FAMILY PACK,101+,2022,8
JAZAN,HM No  80422  GS-CENTER-JAZAN MAIN RD  JAZAN,PALM & GRAIN GROUP,RIMAL,VEGETABLE,0.5L,RIMAL VEGETABLE 0.5L PLUS,11-20$,2023,9
HAIL,HM No  88522  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,ZAHRA,CANOLA,0.2L,ZAHRA CANOLA 0.2L PREMIUM,21-30,2024,4
AL AHSA,HM No  58256  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,NOUR,SUNFLOWER,2.9L,NOUR SUNFLOWER 2.9L FAMILY PACK,101+,2023,3
TAIF,HM No  59022  GS-CENTER-TAIF MAIN RD  TAIF,NOVA FOODS,NAJMA,COCONUT,1L,NAJMA COCONUT 1L PREMIUM,71-80,2024,11
HAIL,HM No  70394  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,GULF GOLD,SUNFLOWER,1L,GULF GOLD SUNFLOWER 1L PREMIUM,61-70,2023,6
RIYADH,HM No  83926  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,NAJMA,COCONUT,3L,NAJMA COCONUT 3L PREMIUM,11-20$,2023,6
TAIF,HM No  63131  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,ZAHRA,CORN,0.75L,ZAHRA CORN 0.75L FAMILY PACK,81-90,2024,12
YANBU,HM No  89306  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,RIMAL,VEGETABLE,1.5L,RIMAL VEGETABLE 1.5L PREMIUM,51-60,2023,6
DAMMAM,HM No  56871  GS-CENTER-DAMMAM MAIN RD  DAMMAM,BLUE OASIS CO,NAJMA,SUNFLOWER,0.75L,NAJMA SUNFLOWER 0.75L,41-50,2024,4
YANBU,HM No  90889  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,HILAL,SUNFLOWER,9L,HILAL SUNFLOWER 9L PLUS,71-80,2022,7
DAMMAM,HM No  50440  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,NAJMA,CANOLA,1.5L,NAJMA CANOLA 1.5L,91-100,2022,3
TABUK,HM No  78862  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,RIMAL,CORN,0.2L,RIMAL CORN 0.2L,41-50,2022,5
DAMMAM,HM No  64348  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,GULF GOLD,CORN,3L,GULF GOLD CORN 3L TWIN PACK,31-40,2022,1
DAMMAM,HM No  67156  GS-CENTER-DAMMAM MAIN RD  DAMMAM,ARABIAN HARVEST CO,NAJMA,COCONUT,1.8L,NAJMA COCONUT 1.8L FAMILY PACK,21-30,2023,4
TABUK,HM No  79897  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,NOUR,CORN,4.5L,NOUR CORN 4.5L TWIN PACK,91-100,2024,7
MAKKAH,HM No  54284  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,GULF GOLD,COCONUT,10L,GULF GOLD COCONUT 10L TWIN PACK,41-50,2024,7
MAKKAH,HM No  74527  GS-CENTER-MAKKAH MAIN RD  MAKKAH,DESERT SUN CO,RIMAL,SUNFLOWER,4.5L,RIMAL SUNFLOWER 4.5L TWIN PACK,11-20$,2024,10
TAIF,HM No  85092  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,GULF GOLD,CORN,0.75L,GULF GOLD CORN 0.75L,51-60,2022,9
AL AHSA,HM No  82046  GS-CENTER-AL AHSA MAIN RD  AL AHSA,AL HILAL INDUSTRIES,ZAHRA,SUNFLOWER,10L,ZAHRA SUNFLOWER 10L FAMILY PACK,101+,2022,3
AL KHARJ,HM No  75435  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,DESERT SUN CO,SABAYA,VEGETABLE,2.9L,SABAYA VEGETABLE 2.9L TWIN PACK,61-70,2024,6
AL KHARJ,HM No  95515  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,SABAYA,SUNFLOWER,1L,SABAYA SUNFLOWER 1L PREMIUM,71-80,2024,10
AL BAHA,HM No  52398  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,HILAL,COCONUT,2.9L,HILAL COCONUT 2.9L TWIN PACK,71-80,2022,5
JAZAN,HM No  74712  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,NOUR,CORN,3L,NOUR CORN 3L,31-40,2022,5
YANBU,HM No  84001  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,HILAL,VEGETABLE,0.2L,HILAL VEGETABLE 0.2L ECO,91-100,2024,6
JAZAN,HM No  79566  GS-CENTER-JAZAN MAIN RD  JAZAN,BLUE OASIS CO,RAWABI,SUNFLOWER,1.5L,RAWABI SUNFLOWER 1.5L ECO,61-70,2023,7
RIYADH,HM No  61768  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,HILAL,CORN,4.5L,HILAL CORN 4.5L,61-70,2022,5
AL KHARJ,HM No  83606  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,LARA,COCONUT,0.5L,LARA COCONUT 0.5L,21-30,2023,1
AL KHARJ,HM No  63127  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,DESERT SUN CO,HILAL,CORN,1L,HILAL CORN 1L PLUS,51-60,2022,12
AL AHSA,HM No  59035  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,NAJMA,CORN,1L,NAJMA CORN 1L PLUS,71-80,2023,10
AL BAHA,HM No  50779  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,BAYTNA,COCONUT,1.8L,BAYTNA COCONUT 1.8L TWIN PACK,41-50,2024,12
TAIF,HM No  81092  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,BAYTNA,VEGETABLE,10L,BAYTNA VEGETABLE 10L PREMIUM,81-90,2024,8
HAIL,HM No  55627  GS-CENTER-HAIL MAIN RD  HAIL,DESERT SUN CO,HILAL,SUNFLOWER,10L,HILAL SUNFLOWER 10L FAMILY PACK,71-80,2022,8
YANBU,HM No  86598  GS-CENTER-YANBU MAIN RD  YANBU,NOVA FOODS,NOUR,COCONUT,4L,NOUR COCONUT 4L TWIN PACK,51-60,2024,1
YANBU,HM No  93178  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,NOUR,COCONUT,1.8L,NOUR COCONUT 1.8L ECO,71-80,2024,9
TABUK,HM No  71369  GS-CENTER-TABUK MAIN RD  TABUK,NOVA FOODS,RIMAL,CANOLA,0.6L,RIMAL CANOLA 0.6L TWIN PACK,61-70,2024,11
AL AHSA,HM No  89835  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,RAWABI,COCONUT,1.8L,RAWABI COCONUT 1.8L,91-100,2023,4
YANBU,HM No  57119  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,RIMAL,SUNFLOWER,4.5L,RIMAL SUNFLOWER 4.5L PLUS,21-30,2022,2
AL BAHA,HM No  86235  GS-CENTER-AL BAHA MAIN RD  AL BAHA,SAHARA EDIBLES,NAJMA,VEGETABLE,2.9L,NAJMA VEGETABLE 2.9L,31-40,2022,2
JAZAN,HM No  68600  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,HILAL,CORN,4.5L,HILAL CORN 4.5L PREMIUM,21-30,2023,1
HAIL,HM No  83982  GS-CENTER-HAIL MAIN RD  HAIL,NOVA FOODS,GULF GOLD,CORN,1.8L,GULF GOLD CORN 1.8L ECO,31-40,2022,3
AL KHARJ,HM No  77421  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,ZAHRA,SUNFLOWER,0.75L,ZAHRA SUNFLOWER 0.75L TWIN PACK,41-50,2023,7
MAKKAH,HM No  93567  GS-CENTER-MAKKAH MAIN RD  MAKKAH,BLUE OASIS CO,GULF GOLD,VEGETABLE,4L,GULF GOLD VEGETABLE 4L PLUS,101+,2022,9
MAKKAH,HM No  94881  GS-CENTER-MAKKAH MAIN RD  MAKKAH,BLUE OASIS CO,LARA,COCONUT,0.2L,LARA COCONUT 0.2L TWIN PACK,81-90,2022,7
AL AHSA,HM No  66176  GS-CENTER-AL AHSA MAIN RD  AL AHSA,DESERT SUN CO,RIMAL,SUNFLOWER,2.9L,RIMAL SUNFLOWER 2.9L ECO,101+,2022,12
JEDDAH,HM No  68868  GS-CENTER-JEDDAH MAIN RD  JEDDAH,BLUE OASIS CO,NOUR,CORN,1.8L,NOUR CORN 1.8L PREMIUM,31-40,2023,4
DAMMAM,HM No  90483  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,SABAYA,SUNFLOWER,4.5L,SABAYA SUNFLOWER 4.5L TWIN PACK,101+,2022,7
MAKKAH,HM No  52861  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,GULF GOLD,CORN,4.5L,GULF GOLD CORN 4.5L PREMIUM,51-60,2024,2
MAKKAH,HM No  97614  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,SABAYA,SUNFLOWER,10L,SABAYA SUNFLOWER 10L PREMIUM,21-30,2023,2
JEDDAH,HM No  83056  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,RAWABI,SUNFLOWER,0.6L,RAWABI SUNFLOWER 0.6L PLUS,41-50,2024,1
YANBU,HM No  51750  GS-CENTER-YANBU MAIN RD  YANBU,ARABIAN HARVEST CO,SABAYA,SUNFLOWER,1.5L,SABAYA SUNFLOWER 1.5L FAMILY PACK,71-80,2022,7
RIYADH,HM No  50703  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,ZAHRA,COCONUT,1.5L,ZAHRA COCONUT 1.5L FAMILY PACK,81-90,2023,8
JEDDAH,HM No  55409  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,SABAYA,COCONUT,2.9L,SABAYA COCONUT 2.9L PLUS,31-40,2022,1
AL AHSA,HM No  56587  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,LARA,CANOLA,3L,LARA CANOLA 3L FAMILY PACK,71-80,2022,2
AL BAHA,HM No  50734  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,GULF GOLD,SUNFLOWER,1.5L,GULF GOLD SUNFLOWER 1.5L TWIN PACK,41-50,2024,1
AL BAHA,HM No  84884  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,SABAYA,CANOLA,4.5L,SABAYA CANOLA 4.5L PREMIUM,21-30,2023,12
TABUK,HM No  79097  GS-CENTER-TABUK MAIN RD  TABUK,NOVA FOODS,RIMAL,CANOLA,0.2L,RIMAL CANOLA 0.2L ECO,41-50,2022,6
TAIF,HM No  63106  GS-CENTER-TAIF MAIN RD  TAIF,ARABIAN HARVEST CO,NAJMA,SUNFLOWER,0.2L,NAJMA SUNFLOWER 0.2L,61-70,2022,11
AL BAHA,HM No  54140  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,ZAHRA,COCONUT,9L,ZAHRA COCONUT 9L TWIN PACK,11-20$,2023,9
JEDDAH,HM No  71439  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,BAYTNA,COCONUT,4L,BAYTNA COCONUT 4L TWIN PACK,91-100,2023,7
JEDDAH,HM No  65231  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,ZAHRA,CORN,1.5L,ZAHRA CORN 1.5L TWIN PACK,11-20$,2023,11
HAIL,HM No  50785  GS-CENTER-HAIL MAIN RD  HAIL,PALM & GRAIN GROUP,HILAL,SUNFLOWER,0.75L,HILAL SUNFLOWER 0.75L,51-60,2024,10
HAIL,HM No  52879  GS-CENTER-HAIL MAIN RD  HAIL,ARABIAN HARVEST CO,HILAL,SUNFLOWER,1L,HILAL SUNFLOWER 1L PREMIUM,81-90,2022,12
AL KHARJ,HM No  87303  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,SAHARA EDIBLES,LARA,CANOLA,4L,LARA CANOLA 4L PLUS,71-80,2024,12
DAMMAM,HM No  71761  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,NOUR,SUNFLOWER,0.5L,NOUR SUNFLOWER 0.5L PLUS,11-20$,2024,10
YANBU,HM No  75059  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,BAYTNA,VEGETABLE,9L,BAYTNA VEGETABLE 9L,41-50,2022,10
JEDDAH,HM No  70240  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,RAWABI,COCONUT,4L,RAWABI COCONUT 4L,11-20$,2022,6
YANBU,HM No  69438  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,GULF GOLD,SUNFLOWER,0.75L,GULF GOLD SUNFLOWER 0.75L FAMILY PACK,11-20$,2022,12
AL AHSA,HM No  79080  GS-CENTER-AL AHSA MAIN RD  AL AHSA,DESERT SUN CO,GULF GOLD,CORN,1.5L,GULF GOLD CORN 1.5L FAMILY PACK,11-20$,2024,7
AL BAHA,HM No  68904  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,HILAL,CORN,1.5L,HILAL CORN 1.5L TWIN PACK,41-50,2024,1
AL BAHA,HM No  66275  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,RIMAL,SUNFLOWER,3L,RIMAL SUNFLOWER 3L PLUS,31-40,2023,11
RIYADH,HM No  54234  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,ZAHRA,COCONUT,0.2L,ZAHRA COCONUT 0.2L FAMILY PACK,31-40,2022,3
JEDDAH,HM No  61382  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,HILAL,VEGETABLE,0.5L,HILAL VEGETABLE 0.5L ECO,81-90,2023,3
MAKKAH,HM No  62945  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,RAWABI,COCONUT,4L,RAWABI COCONUT 4L TWIN PACK,51-60,2023,10
YANBU,HM No  91654  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,LARA,SUNFLOWER,0.5L,LARA SUNFLOWER 0.5L PLUS,71-80,2023,3
YANBU,HM No  78926  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,BAYTNA,VEGETABLE,9L,BAYTNA VEGETABLE 9L ECO,31-40,2023,1
JAZAN,HM No  78009  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,LARA,VEGETABLE,3L,LARA VEGETABLE 3L TWIN PACK,91-100,2024,3
TABUK,HM No  74933  GS-CENTER-TABUK MAIN RD  TABUK,BLUE OASIS CO,LARA,SUNFLOWER,1L,LARA SUNFLOWER 1L ECO,91-100,2024,8
JEDDAH,HM No  71838  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,SABAYA,COCONUT,0.6L,SABAYA COCONUT 0.6L TWIN PACK,11-20$,2022,9
MAKKAH,HM No  97536  GS-CENTER-MAKKAH MAIN RD  MAKKAH,DESERT SUN CO,SABAYA,SUNFLOWER,1.8L,SABAYA SUNFLOWER 1.8L ECO,61-70,2023,8
TABUK,HM No  92011  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,RAWABI,CANOLA,0.5L,RAWABI CANOLA 0.5L ECO,101+,2022,4
JAZAN,HM No  66728  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,BAYTNA,SUNFLOWER,4.5L,BAYTNA SUNFLOWER 4.5L FAMILY PACK,61-70,2024,1
AL BAHA,HM No  75253  GS-CENTER-AL BAHA MAIN RD  AL BAHA,PALM & GRAIN GROUP,HILAL,COCONUT,2.9L,HILAL COCONUT 2.9L,61-70,2024,12
AL BAHA,HM No  51851  GS-CENTER-AL BAHA MAIN RD  AL BAHA,SAHARA EDIBLES,LARA,VEGETABLE,2.9L,LARA VEGETABLE 2.9L FAMILY PACK,31-40,2023,4
AL AHSA,HM No  87902  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,NAJMA,CANOLA,10L,NAJMA CANOLA 10L,71-80,2023,12
AL AHSA,HM No  55265  GS-CENTER-AL AHSA MAIN RD  AL AHSA,AL HILAL INDUSTRIES,RAWABI,COCONUT,1.8L,RAWABI COCONUT 1.8L PLUS,51-60,2024,9
AL BAHA,HM No  75086  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,RAWABI,CANOLA,0.5L,RAWABI CANOLA 0.5L FAMILY PACK,101+,2023,3
TABUK,HM No  99068  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,RAWABI,CORN,0.2L,RAWABI CORN 0.2L TWIN PACK,81-90,2022,2
JEDDAH,HM No  95633  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,BAYTNA,SUNFLOWER,4.5L,BAYTNA SUNFLOWER 4.5L PLUS,71-80,2022,3
HAIL,HM No  62215  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,HILAL,SUNFLOWER,0.6L,HILAL SUNFLOWER 0.6L PREMIUM,21-30,2023,10
TAIF,HM No  62165  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,NAJMA,COCONUT,10L,NAJMA COCONUT 10L TWIN PACK,51-60,2023,8
AL BAHA,HM No  90922  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,GULF GOLD,CANOLA,1L,GULF GOLD CANOLA 1L,71-80,2022,5
JEDDAH,HM No  72423  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,RIMAL,COCONUT,2.9L,RIMAL COCONUT 2.9L ECO,21-30,2022,1
TABUK,HM No  99269  GS-CENTER-TABUK MAIN RD  TABUK,NOVA FOODS,RIMAL,CANOLA,0.5L,RIMAL CANOLA 0.5L TWIN PACK,91-100,2022,7
AL AHSA,HM No  84083  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,SABAYA,SUNFLOWER,10L,SABAYA SUNFLOWER 10L PLUS,101+,2023,6
HAIL,HM No  94686  GS-CENTER-HAIL MAIN RD  HAIL,DESERT SUN CO,NOUR,COCONUT,1.5L,NOUR COCONUT 1.5L FAMILY PACK,71-80,2023,10
RIYADH,HM No  73332  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,ZAHRA,CANOLA,2.9L,ZAHRA CANOLA 2.9L FAMILY PACK,71-80,2024,3
RIYADH,HM No  89446  GS-CENTER-RIYADH MAIN RD  RIYADH,ARABIAN HARVEST CO,BAYTNA,CORN,9L,BAYTNA CORN 9L TWIN PACK,61-70,2023,10
AL BAHA,HM No  93180  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,BAYTNA,SUNFLOWER,4.5L,BAYTNA SUNFLOWER 4.5L TWIN PACK,11-20$,2024,6
RIYADH,HM No  91535  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,NAJMA,CORN,4.5L,NAJMA CORN 4.5L ECO,41-50,2024,8
JAZAN,HM No  98444  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,NOUR,SUNFLOWER,2.9L,NOUR SUNFLOWER 2.9L FAMILY PACK,21-30,2024,7
TABUK,HM No  89791  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,GULF GOLD,VEGETABLE,4L,GULF GOLD VEGETABLE 4L FAMILY PACK,91-100,2022,3
YANBU,HM No  55707  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,BAYTNA,SUNFLOWER,0.6L,BAYTNA SUNFLOWER 0.6L ECO,21-30,2023,11
AL KHARJ,HM No  65787  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,AL HILAL INDUSTRIES,HILAL,COCONUT,10L,HILAL COCONUT 10L FAMILY PACK,21-30,2022,7
MAKKAH,HM No  51915  GS-CENTER-MAKKAH MAIN RD  MAKKAH,SAHARA EDIBLES,NOUR,SUNFLOWER,10L,NOUR SUNFLOWER 10L PLUS,41-50,2024,5
AL BAHA,HM No  81214  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,GULF GOLD,VEGETABLE,4.5L,GULF GOLD VEGETABLE 4.5L FAMILY PACK,81-90,2022,12
HAIL,HM No  64667  GS-CENTER-HAIL MAIN RD  HAIL,ARABIAN HARVEST CO,NOUR,SUNFLOWER,9L,NOUR SUNFLOWER 9L FAMILY PACK,71-80,2024,11
AL KHARJ,HM No  78636  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,AL HILAL INDUSTRIES,HILAL,CORN,0.5L,HILAL CORN 0.5L PLUS,21-30,2022,2
HAIL,HM No  98534  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,ZAHRA,VEGETABLE,1.5L,ZAHRA VEGETABLE 1.5L TWIN PACK,61-70,2023,10
MAKKAH,HM No  50110  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,NAJMA,VEGETABLE,3L,NAJMA VEGETABLE 3L TWIN PACK,71-80,2023,6
HAIL,HM No  94518  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,BAYTNA,VEGETABLE,4L,BAYTNA VEGETABLE 4L TWIN PACK,21-30,2023,1
AL KHARJ,HM No  80186  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,DESERT SUN CO,GULF GOLD,CORN,0.75L,GULF GOLD CORN 0.75L ECO,81-90,2022,10
TABUK,HM No  59559  GS-CENTER-TABUK MAIN RD  TABUK,NOVA FOODS,RIMAL,CORN,1L,RIMAL CORN 1L PREMIUM,21-30,2023,12
AL AHSA,HM No  81344  GS-CENTER-AL AHSA MAIN RD  AL AHSA,AL HILAL INDUSTRIES,SABAYA,CORN,9L,SABAYA CORN 9L ECO,11-20$,2023,3
MAKKAH,HM No  63802  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,NAJMA,COCONUT,2.9L,NAJMA COCONUT 2.9L FAMILY PACK,71-80,2023,11
DAMMAM,HM No  51413  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,NOUR,SUNFLOWER,4.5L,NOUR SUNFLOWER 4.5L ECO,61-70,2023,7
JEDDAH,HM No  84592  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NAJDI CONSUMER,LARA,COCONUT,9L,LARA COCONUT 9L PREMIUM,71-80,2022,3
HAIL,HM No  99300  GS-CENTER-HAIL MAIN RD  HAIL,NOVA FOODS,LARA,SUNFLOWER,4.5L,LARA SUNFLOWER 4.5L TWIN PACK,101+,2022,8
MAKKAH,HM No  81617  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,GULF GOLD,COCONUT,0.75L,GULF GOLD COCONUT 0.75L FAMILY PACK,41-50,2024,11
RIYADH,HM No  73738  GS-CENTER-RIYADH MAIN RD  RIYADH,ARABIAN HARVEST CO,GULF GOLD,SUNFLOWER,1.8L,GULF GOLD SUNFLOWER 1.8L FAMILY PACK,31-40,2022,2
HAIL,HM No  81055  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,NAJMA,CANOLA,3L,NAJMA CANOLA 3L FAMILY PACK,61-70,2024,7
DAMMAM,HM No  91089  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,HILAL,CANOLA,0.5L,HILAL CANOLA 0.5L TWIN PACK,71-80,2023,5
